date,adjVolume_SandP,adjClose_SandP,adjClose_aapl,adjVolume_aapl,adjClose_fb,adjVolume_fb,adjClose_goog,adjVolume_goog,adjClose_msft,adjVolume_msft
2019-10-10,3217250000.0,2938.1298828125,56.958649172,115851936.0,180.03,8980978,1208.67,932531,137.5377578502,18396605
2019-10-11,3580460000.0,2970.27001953125,58.473651705500004,167960840.0,184.19,14998754,1215.45,1277144,138.1112438283,25551065
2019-10-14,2557020000.0,2966.14990234375,58.3894848981,97653936.0,183.28,7203665,1217.14,882039,137.9827038677,13591639
2019-10-15,3340740000.0,2995.679931640625,58.253332709700004,92161932.0,188.89,15143119,1243.01,1395259,139.9800171018,19917762
2019-10-16,3222570000.0,2989.68994140625,58.018160747799996,77146776.0,189.55,10560343,1243.64,1168174,138.83304514559998,20841687
2019-10-17,3115960000.0,2997.949951171875,58.2434307323,69091588.0,190.39,9761548,1253.07,980510,138.1211315176,22102797
2019-10-18,3264290000.0,2986.199951171875,58.52316159229999,96992092.0,185.85,16584992,1245.49,1321924,135.8667383623,30650850
2019-10-21,3271620000.0,3006.719970703125,59.5381142699,87246268.0,189.76,8122598,1246.15,1026750,136.8752826686,20078066
2019-10-22,3523890000.0,2995.989990234375,59.401962081499995,90736004.0,182.34,19854192,1242.8,1047851,134.8384186775,27935270
2019-10-23,3392870000.0,3004.52001953125,60.1990712576,79730180.0,186.15,12370819,1259.13,928595,135.6986476446,31380309
2019-10-24,3692600000.0,3010.2900390625,60.298091031000006,71665020.0,186.38,11505406,1260.99,1039868,138.3683237495,37278399
2019-10-25,3370370000.0,3022.550048828125,61.0407393317,73477184.0,187.89,8061240,1265.13,1213051,139.1494512025,25959724
2019-10-28,,3039.419921875,61.652186432700006,94621472.0,189.4,13377192,1290.0,2524976,142.5705916925,34912902
2019-10-29,3589930000.0,3036.889892578125,60.226301695299995,142839468.0,189.31,13574874,1262.62,1886380,141.22586595069998,20589469
2019-10-30,3776030000.0,3046.77001953125,60.2188752123,124522088.0,188.25,28734559,1261.29,1408851,142.9858746421,18496591
2019-10-31,4139280000.0,3037.56005859375,61.58039709689999,139162080.0,191.65,42286529,1260.11,1455651,141.7598011717,24605135
2019-11-01,3930200000.0,3066.909912109375,63.328096098,151125336.0,193.62,21711829,1273.74,1670072,142.10587029639998,33128366
2019-11-04,4146850000.0,3078.27001953125,63.7439791464,103271808.0,194.72,16371292,1291.37,1500964,142.92654850649998,16911999
2019-11-05,4486130000.0,3074.6201171875,63.652385856,79897708.0,194.32,9941954,1292.03,1282711,142.837559303,18250172
2019-11-06,4458190000.0,3076.780029296875,63.6796162937,75864496.0,191.55,10973019,1291.8,1152977,142.4420517319,16575798
2019-11-07,4144640000.0,3085.179931640625,64.4123626171,94940332.0,190.42,13472998,1308.86,2029970,142.6398055174,17786715
2019-11-08,3499150000.0,3093.080078125,64.5886443789,70081980.0,190.84,10764784,1311.37,1251916,144.3207126946,16752939
2019-11-11,3035530000.0,3087.010009765625,65.1001097722,82029836.0,189.61,8637768,1299.19,1012429,144.4690280338,14370178
2019-11-12,3466010000.0,3091.840087890625,65.040521571,87388904.0,194.47,17615454,1298.8,1085859,145.4182462044,18648712
2019-11-13,3509280000.0,3094.0400390625,65.6637148415,103270372.0,193.19,11009800,1298.0,853861,145.6555507471,17444230
2019-11-14,3276070000.0,3096.6298828125,65.20935480770001,89582224.0,193.15,9059897,1311.46,1194305,146.3971274429,19755100
2019-11-15,3335650000.0,3120.4599609375,65.98400142279999,100374664.0,195.1,11530232,1334.87,1782955,148.2856760949,23508807
2019-11-18,3436690000.0,3122.030029296875,66.3167022126,86803588.0,197.4,16176107,1320.7,1488083,148.6515205981,21554762
2019-11-19,3590070000.0,3120.179931640625,66.1155920337,76278388.0,199.32,19070291,1315.46,1269372,148.7009590445,23960164
2019-11-20,4034890000.0,3108.4599609375,65.345911102,106439676.0,197.51,12370240,1303.05,1309835,148.4438791233,25720060
2019-11-21,3720560000.0,3103.5400390625,65.0529357796,121395112.0,197.93,12130985,1301.35,995499,148.30497962409999,18576083
2019-11-22,3226780000.0,3110.2900390625,64.99583042020001,65325052.0,198.82,9959817,1295.34,1386506,148.4141149449,15841680
2019-11-25,3511530000.0,3133.639892578125,66.13545476739999,84118068.0,199.79,15286442,1306.69,1036487,150.0412233647,22428585
2019-11-26,4595590000.0,3140.52001953125,65.61902369069999,105339528.0,198.97,11748664,1313.55,1069795,150.8349347889,24635100
2019-11-27,3033090000.0,3153.6298828125,66.5004324996,65544488.0,202.0,12760568,1312.99,996329,151.1226551802,15201293
2019-11-29,1743020000.0,3140.97998046875,66.3539448384,46617452.0,201.64,7985231,1304.96,586981,150.1900442567,11977300
2019-12-02,3268740000.0,3113.8701171875,65.5867467484,94774200.0,199.7,11542020,1289.92,1511851,148.3744293737,27473616
2019-12-03,3653390000.0,3093.199951171875,64.4173283005,117509072.0,198.82,13014170,1295.28,1268647,148.1363159464,25192145
2019-12-04,3695030000.0,3112.760009765625,64.9858990533,67241552.0,198.71,8459939,1320.54,1538110,148.67207115780002,17580617
2019-12-05,3355750000.0,3117.429931640625,65.9393102719,74645372.0,199.36,9755350,1328.13,1212818,148.7514423002,17880601
2019-12-06,3479480000.0,3145.909912109375,67.2130080718,106189972.0,201.05,12279525,1340.62,1315510,150.5571357904,16410400
2019-12-09,3345990000.0,,66.2720110618,128730580.0,201.34,12013218,1343.56,1355795,150.1702014711,16741350
2019-12-10,3343790000.0,3132.52001953125,66.6593343693,90529532.0,200.87,9485568,1344.66,1094653,149.9420094366,16481060
2019-12-11,3252540000.0,3141.6298828125,67.2279051221,78893564.0,202.26,8041827,1345.02,850796,150.5075288264,18860001
2019-12-12,3990690000.0,3168.570068359375,67.39922120050001,137748168.0,196.75,23766986,1350.27,1281722,152.0354233181,24645366
2019-12-13,3736870000.0,3168.800048828125,68.3153897934,133731224.0,194.11,18806020,1347.83,1550028,153.3152829897,23850062
2019-12-16,4051790000.0,3191.449951171875,69.4848082412,128324420.0,197.92,14922733,1361.17,1397451,154.3074222701,24152770
2019-12-17,3837540000.0,3192.52001953125,69.6213645355,114303192.0,198.39,10177605,1355.12,1855259,153.4740252746,25443527
2019-12-18,4014080000.0,3191.139892578125,69.4550141406,116098748.0,202.5,23284746,1352.62,1657069,153.1565407049,24132379
2019-12-19,3720450000.0,3205.3701171875,69.5245337087,98507788.0,206.06,16808184,1356.04,1470112,154.48600734049998,25813825
2019-12-20,6454270000.0,3221.219970703125,69.38052888920001,276130972.0,206.3,27315226,1349.59,3316905,156.1726441171,53599613
2019-12-23,3060610000.0,3224.010009765625,70.5127047113,98711532.0,206.18,13353194,1348.84,883200,156.1726441171,17726283
2019-12-24,1296540000.0,3223.3798828125,70.5797414376,48478856.0,205.12,6046273,1343.56,347518,156.14287993870002,8989150
2019-12-26,2160680000.0,3239.909912109375,71.980064165,93336016.0,207.79,9368273,1360.4,667754,157.4227396103,14526927
2019-12-27,2428670000.0,3240.02001953125,71.9527529061,146371744.0,208.1,10287634,1351.89,1038718,157.7104600016,18414352
2019-12-30,3013290000.0,3221.2900390625,72.37980168109999,144238456.0,204.41,10534441,1336.14,1051323,156.3512291876,16356720
2019-12-31,2893810000.0,3230.780029296875,72.9086469665,100990500.0,205.25,8962756,1337.02,962468,156.4603645084,18393383
2020-01-02,3458250000.0,3257.85009765625,74.5721509156,135647456.0,209.78,12090707,1367.37,1406731,159.357411207,22634546
2020-01-03,3461290000.0,3234.85009765625,73.84716113479999,146535512.0,208.67,11197416,1360.66,1187006,157.37313264629998,21121681
2020-01-06,3674070000.0,3246.280029296875,74.4355946213,118578576.0,212.6,17073861,1394.21,1733149,157.7799097512,20826702
2020-01-07,3420380000.0,3237.179931640625,74.0855139395,,213.06,15111857,1393.34,1511693,156.3413077948,21881740
2020-01-08,3720890000.0,3253.050048828125,75.2772779627,132363784.0,215.22,13492703,1404.32,1529177,158.8315773884,27762026
2020-01-09,3638390000.0,3274.699951171875,76.8762280273,170486168.0,218.3,12679579,1419.83,1502664,160.8158559491,21399951
2020-01-10,3212970000.0,3265.35009765625,77.0500269474,140869088.0,218.06,12127432,1429.73,1821566,160.0717514888,20733946
2020-01-13,3456380000.0,3288.1298828125,78.6961510046,120114968.0,221.91,14295658,1439.23,1378286,161.9965016927,18666414
2020-01-14,3665130000.0,3283.14990234375,77.6334947505,162613828.0,219.06,13315361,1430.88,1560453,160.8555415203,23500783
2020-01-15,3716840000.0,3289.2900390625,77.3007939606,121923528.0,221.15,10036475,1439.2,1282685,161.89728776459998,21417871
2020-01-16,3535080000.0,3316.81005859375,78.26910222949999,108829016.0,221.77,10015288,1451.7,1173688,164.8637842128,23865360
2020-01-17,3698170000.0,3329.6201171875,79.1356139881,137816468.0,222.14,15905944,1480.39,2396215,165.7864737435,34371659
2020-01-21,4105340000.0,3320.7900390625,78.59932017770001,108940156.0,221.44,14162007,1484.4,2008830,165.1911901753,29223486
2020-01-22,3619850000.0,3321.75,78.8798812915,101832460.0,221.32,12212814,1485.95,1610846,164.3974787511,24138777
2020-01-23,3764860000.0,3325.5400390625,79.25975607390001,104471972.0,219.76,11195000,1486.65,1351354,165.409460817,19680766
2020-01-24,3707130000.0,3295.469970703125,79.0313346361,146537520.0,217.94,11905824,1466.71,1784644,163.742666826,24918117
2020-01-27,3823100000.0,3243.6298828125,76.7073947907,161940020.0,214.87,13810655,1433.9,1755201,161.0043624123,32078067
2020-01-28,3526720000.0,3276.239990234375,78.8773984498,162233944.0,217.79,13413835,1452.56,1577422,164.1593653238,24899940
2020-01-29,3584500000.0,3273.39990234375,80.5284881904,216599712.0,223.23,33610005,1458.63,1078667,166.719084667,35127771
2020-01-30,3787250000.0,3283.659912109375,80.4117946297,126743232.0,209.53,48775500,1455.84,1339421,171.4218248558,51597470
2020-01-31,4527830000.0,3225.52001953125,76.8464339267,199588384.0,201.91,31359917,1434.23,2417214,168.891869691,36142690
2020-02-03,3757910000.0,3248.919921875,76.6353923809,173985604.0,204.19,15510509,1485.94,3055216,173.0092477043,30149052
2020-02-04,3995320000.0,3297.590087890625,79.1654080887,136616536.0,209.83,19628890,1447.07,3932954,178.7041271734,36433339
2020-02-05,4117730000.0,3334.68994140625,79.8109469347,118826872.0,210.11,12538154,1448.23,1986157,178.4858565318,39186324
2020-02-06,3868370000.0,3345.780029296875,80.7444954196,105425540.0,210.85,10567533,1476.23,1679384,182.1865360474,27751381
2020-02-07,3730650000.0,3327.7099609375,79.6495622232,117684048.0,212.33,12242530,1479.23,1172270,182.4444922603,33529074
2020-02-10,3450350000.0,3352.090087890625,80.02786217810001,109348860.0,213.06,11856350,1508.68,1419876,187.2166821987,35844267
2020-02-11,3760550000.0,3357.75,79.5450319725,94323120.0,207.19,25030810,1508.79,1344633,182.99016886450002,53159906
2020-02-12,3926380000.0,3379.449951171875,81.4340429317,113730292.0,210.76,13813704,1518.27,1167565,183.25804647020001,47062921
2020-02-13,3498240000.0,3373.93994140625,80.8541489218,94747568.0,213.14,15396625,1514.66,929730,182.2659071898,35295834
2020-02-14,3398040000.0,3380.159912109375,80.8740594457,80113788.0,214.18,10741747,1520.74,1197836,183.89301560959998,23149516
2020-02-18,3746720000.0,3370.2900390625,79.3932142274,152762180.0,217.8,15630026,1519.67,1121140,185.7582374566,27853113
2020-02-19,3600150000.0,3386.14990234375,80.54304698520001,93983964.0,217.49,12135114,1526.69,949268,186.3138354536,29997471
2020-02-20,4007320000.0,3373.22998046875,79.7167602415,100565956.0,214.58,13109213,1518.15,1096552,183.4685899955,36862376
2020-02-21,3899270000.0,3337.75,77.9123690091,129705660.0,210.18,14098432,1485.11,1732273,177.6686665616,48600385
2020-02-24,4842960000.0,3225.889892578125,74.2115003709,222195312.0,200.72,23080057,1421.59,2867053,170.0083903282,68311066
2020-02-25,5591510000.0,3128.2099609375,71.697796723,230673456.0,196.77,21433487,1388.45,2478278,167.20293851280002,68073295
2020-02-26,5478110000.0,3116.389892578125,72.8351854033,198713724.0,197.2,16555210,1393.18,2204037,169.2921047583,56387148
2020-02-27,7058840000.0,2978.760009765625,68.0740813651,320605524.0,189.75,21682626,1318.09,2978300,157.3639603377,93174906
2020-02-28,8563850000.0,2954.219970703125,68.03426031720001,426884920.0,192.47,32583494,1339.33,3790618,161.174201633,97073557
2020-03-02,6376400000.0,3090.22998046875,74.368295747,341397356.0,196.44,24948955,1389.11,2431468,171.8985883598,71030810
2020-03-03,6355940000.0,3003.3701171875,72.0064098441,319475408.0,185.89,27984104,1341.39,2402326,163.6613043062,71677019
2020-03-04,5035480000.0,3130.1201171875,75.3464002357,219178272.0,191.76,23062473,1386.52,1913315,169.6701443646,49814383
2020-03-05,5575550000.0,3023.93994140625,72.90238342159999,187572876.0,185.17,19333425,1319.04,2561288,165.4122245882,47817251
2020-03-06,6552140000.0,2972.3701171875,71.9342341948,226176984.0,181.09,24559550,1298.41,2660628,160.7364715626,72821057
2020-03-09,8423050000.0,2746.56005859375,66.2448019778,286744832.0,169.5,29949041,1215.56,3365365,149.842961854,70419274
2020-03-10,7635960000.0,2882.22998046875,71.0158612779,285290080.0,178.19,24517791,1280.39,2611373,160.0898248675,65354385
2020-03-11,7374110000.0,2741.3798828125,68.54944512430001,256379880.0,170.24,20397204,1215.41,2611229,152.8374334725,56504304
2020-03-12,8829380000.0,2480.639892578125,61.779866983299996,418474068.0,154.47,43266335,1114.91,4226748,138.3425990932,93226366
2020-03-13,8258670000.0,2711.02001953125,69.18160425949999,370732128.0,170.28,35028627,1219.73,3700125,158.0106070328,92727446
2020-03-16,7781540000.0,2386.1298828125,60.2816000565,322423460.0,146.01,39120419,1084.33,4252365,134.72137760110002,87905868
2020-03-17,8358500000.0,2529.18994140625,62.932188556599996,324055860.0,149.42,34255596,1119.8,3861489,145.8138555235,81059817
2020-03-18,8755780000.0,2398.10009765625,61.391611766400004,300233624.0,146.96,37553136,1096.8,4233435,139.67568612600002,81593173
2020-03-19,7946710000.0,2409.389892578125,60.9212256382,271857020.0,153.13,39862312,1115.29,3651106,141.9737689961,85922661
2020-03-20,9044690000.0,2304.919921875,57.053606362,401693384.0,149.73,32568398,1072.32,3601750,136.64142086479998,84866215
2020-03-23,7402180000.0,2237.39990234375,55.841553216899996,336752832.0,148.1,29830765,1056.62,4044137,135.2784885999,78975176
2020-03-24,7547350000.0,2447.330078125,61.4438768917,287531092.0,160.98,30440369,1134.46,3344450,147.5747242161,82516727
2020-03-25,8285670000.0,2475.56005859375,61.105397984700005,303602040.0,156.21,35184271,1102.49,4081528,146.1620498977,75638224
2020-03-26,7753160000.0,2630.070068359375,64.3209476017,252560676.0,163.34,26579021,1161.75,3573755,155.3046393243,64694427
2020-03-27,6194330000.0,2541.469970703125,61.6579150241,204216612.0,156.79,24879869,1110.71,3208495,148.9277080703,57042291
2020-03-30,5746220000.0,2626.64990234375,63.41750757770001,167976440.0,165.95,22515225,1146.82,2574061,159.4033845297,63420326
2020-03-31,6568290000.0,2584.590087890625,63.2880891721,197002004.0,166.8,23676283,1162.81,2487983,156.8963850352,77927186
2020-04-01,5947900000.0,2470.5,59.9580540424,176218552.0,159.6,19507559,1105.62,2344173,151.3252750472,57969926
2020-04-02,6454990000.0,2526.89990234375,60.9585578706,165933972.0,158.19,20886309,1120.84,1964881,154.45902441549998,49630735
2020-04-03,6087190000.0,2488.64990234375,60.082494817,129880068.0,154.18,25983317,1097.88,2313400,153.03640168639998,41243284
2020-04-06,6391860000.0,2663.679931640625,65.3239402453,201820284.0,165.55,28453581,1186.92,2664723,164.41738351889998,67111697
